,DEPARTMENT,Residence stratum,Number of people in household,A1.1. Enumerator: Register sex; ask only of you are uncertain,A1.2. How old are you?,A.1.3. What is your current marital status?,A.1.4aa What  is the highest level of education achieved?,A1.4ba. Do you have a Job? (Work carried out for third parties in exchange for a,A1.6. Which of these documents do you have in your name: %kishselectedName% ?:1. Birth certificate,A1.6. Which of these documents do you have in your name: %kishselectedName% ?:2. Passport,A1.6. Which of these documents do you have in your name: %kishselectedName% ?:3.  National identity card/Voter Card,A1.6. Which of these documents do you have in your name: %kishselectedName% ?:4. Driving Licence,A1.6. Which of these documents do you have in your name: %kishselectedName% ?:5. Matricule fiscale  (NIF),C9. What is your TOTAL PERSONAL MONTHLY INCOME,E2. Now I would like to obtain information on the communication devices or services you use or own.?: Basic mobile phone,E2. Now I would like to obtain information on the communication devices or services you use or own.?: Smartphone (mobile),E2. Now I would like to obtain information on the communication devices or services you use or own.?: Internet,E3. Do you Own: Basic mobile phone,E3. Do you Own: Smartphone (mobile),E3. Do you Own: Desktop /laptop or tablet,"E6. For which of the following activities do you use your mobile phone?: Send or transfer money or pay for things and services including school fees and water bills, electricity, council tax, post-paid telephone bills.",E6. For which of the following activities do you use your mobile phone?: Withdraw money from your bank account,E6. For which of the following activities do you use your mobile phone?: Send or receive money,E6. For which of the following activities do you use your mobile phone?: None (single mention only)," In the past 12 months that is since (current month) 2016, have you sent money to someone within the country?","People also receive money from time to time. During the last 12 months, have you received money from a person living within the country?","F9a During the last 12 months, have you received money from a person living abroad?",J2a. Do you currently have a bank account in your name in a bank or credit institution ? It could also be a joint/group account on which your name appears?,j5a. We are now talking about transactions Which of the following transactions have you done in the past 12 months:Internet/online banking transaction,j5a. We are now talking about transactions Which of the following transactions have you done in the past 12 months:Mobile banking transaction,j5a. We are now talking about transactions Which of the following transactions have you done in the past 12 months: Deposit cash into a bank account,j5a. We are now talking about transactions Which of the following transactions have you done in the past 12 months: Used cash point/ATM,L1.Have you heard about the following mobile money services ? :Lajan Cash,L1.Have you heard about the following mobile money services ? :Mon Cash,L2a. Have you used the Mobile money services of (name of service provider )?:Lajan Cash,L2a. Have you used the Mobile money services of (name of service provider )?:Mon Cash,Y,age_bins
2861,5.0,1,7.0,0,21.0,1.0,6.0,0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1
2862,5.0,1,3.0,1,54.0,1.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10
2863,5.0,1,2.0,1,34.0,2.0,6.0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,5
2864,5.0,1,2.0,0,78.0,1.0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13
2865,5.0,1,2.0,0,24.0,2.0,4.0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
2866,5.0,1,5.0,0,23.0,2.0,4.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
2867,5.0,1,5.0,0,28.0,1.0,4.0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,3
2868,5.0,1,3.0,1,66.0,1.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12
2869,8.0,1,3.0,0,90.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13
2870,5.0,1,4.0,1,20.0,1.0,6.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2871,5.0,1,5.0,1,46.0,3.0,4.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9
2872,5.0,1,3.0,0,65.0,2.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12
2873,5.0,1,5.0,0,54.0,2.0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10
2874,5.0,1,5.0,0,25.0,1.0,6.0,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
2875,5.0,1,3.0,1,31.0,2.0,4.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4
2876,5.0,1,4.0,1,40.0,2.0,4.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7
2877,5.0,1,4.0,0,33.0,3.0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5
2878,5.0,1,8.0,0,23.0,1.0,6.0,0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,2
2879,5.0,1,3.0,1,60.0,1.0,4.0,1,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11
2880,5.0,1,6.0,1,60.0,3.0,4.0,1,1.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11
2881,5.0,1,6.0,0,57.0,3.0,4.0,1,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11
2882,5.0,1,4.0,1,15.0,1.0,4.0,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2883,5.0,1,6.0,0,15.0,1.0,5.0,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2884,5.0,1,1.0,1,75.0,3.0,4.0,0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13
2885,5.0,1,4.0,0,22.0,1.0,5.0,1,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2886,5.0,1,2.0,0,27.0,1.0,5.0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
